people_ID,Infect_Prob
5942,53.901024
18664,50.199066
5603,57.751297
5649,55.57439
5099,54.72817
18749,51.28725
5228,51.431637
5559,48.844196
5220,51.932262
5476,49.17644
5260,58.695488
17638,49.885532
18635,45.092533
18794,58.31104
5263,53.355373
17680,57.377575
18030,43.97858
18090,48.966896
18455,50.402245
18155,46.57774
18116,59.328632
18144,49.50008
5218,60.20317
5386,52.749187
18105,56.048767
5735,48.538456
5900,48.110004
18391,51.90935
5786,52.202217
18639,52.45841
17984,55.389706
18274,49.23749
5425,50.823666
6076,61.368145
18545,48.55992
17697,64.53412
6137,50.38206
6083,56.526546
17730,49.632362
5896,60.959118
18906,51.61184
17808,45.69618
6078,49.544865
5516,53.846478
18093,53.922348
6120,56.01072
18154,47.268925
17935,52.196552
18769,62.655155
18264,48.634495
18076,47.90372
18035,45.25141
18051,45.74464
18676,46.399693
5332,52.04616
5898,73.48351
18370,52.008953
17706,49.784092
5198,56.761166
18360,47.848385
18240,43.937992
18691,48.454453
5768,49.75088
18315,45.816757
18776,44.925167
6225,46.266026
17983,55.4007
17973,52.13119
5805,69.138245
5500,46.60898
5305,49.530228
18243,51.19618
5169,59.647816
5258,53.709396
17810,56.557274
5714,58.97791
6070,51.823223
5959,62.606457
18771,49.533672
17765,59.589954
18822,43.44533
17735,66.615395
17966,44.8819
18861,45.53931
18236,50.125263
18750,62.39734
17809,55.023937
6049,49.42854
18465,54.614765
6201,48.43184
18877,45.81744
5087,54.129704
17742,51.09154
17941,61.25941
18421,47.52985
18489,42.04056
6299,66.9824
18428,48.821323
5563,64.30386
18796,54.476364
5849,56.655827
5661,47.09695
5893,49.453716
5378,67.73297
5622,44.754555
5823,55.772503
18521,47.62628
5502,51.145527
18785,47.785877
17783,47.4535
18424,59.174503
18147,49.661465
18881,59.268856
18851,52.01565
17686,47.83388
5100,50.197266
5213,51.141956
18252,49.168488
5576,58.343586
18050,52.734806
5875,51.386642
6059,51.823933
18599,54.460747
5173,54.381336
5461,53.163696
5151,72.07779
5266,58.675007
5514,58.59232
5224,47.43071
18069,47.580036
5587,57.34773
17874,55.058285
5536,58.333035
5215,47.852306
5400,61.803738
17857,52.659435
6043,64.075485
18330,54.291653
18333,52.88323
17788,49.898273
18332,57.28506
17836,47.167973
5247,49.488148
5922,51.991077
18641,56.30567
5951,64.93005
18807,43.794262
18293,68.10675
18775,51.996914
5601,58.047382
5102,50.929104
18464,49.958393
17713,52.8399
18557,41.101147
18854,53.056194
18401,45.114914
18699,56.09669
5706,61.61729
5747,45.696667
5496,50.942867
18308,50.075527
5345,57.100464
